name,symbol,category
Trust Finance Indonesia Tbk,TRUS.JK,Unknown
Tempo Scan Pacific Tbk.,TSPC.JK,Unknown
Tunas Ridean Tbk.,TURI.JK,Unknown
Ultra Jaya Milk Industry & Tra,ULTJ.JK,Unknown
Unggul Indah Cahaya Tbk.,UNIC.JK,Unknown
Nusantara Inti Corpora Tbk,UNIT.JK,Unknown
Bakrie Sumatera Plantations Tb,UNSP.JK,Unknown
United Tractors Tbk.,UNTR.JK,Unknown
Unilever Indonesia Tbk.,UNVR.JK,Unknown
Victoria Investama Tbk.,VICO.JK,Unknown
Victoria Insurance Tbk.,VINS.JK,Unknown
Visi Media Asia Tbk.,VIVA.JK,Unknown
Voksel Electric Tbk.,VOKS.JK,Unknown
Verena Multi Finance Tbk.,VRNA.JK,Unknown
Wahana Pronatural Tbk.,WAPO.JK,Unknown
WEHA Transportasi Indonesia Tb,WEHA.JK,Unknown
Wicaksana Overseas Internation,WICO.JK,Unknown
Wismilak Inti Makmur Tbk.,WIIM.JK,Unknown
Sillo Maritime Perdana Tbk.,SHIP.JK,Unknown
Capital Financial Indonesia Tb,CASA.JK,Unknown
Duta Intidaya Tbk.,DAYA.JK,Unknown
Dua Putra Utama Makmur Tbk.,DPUM.JK,Unknown
Indonesia Pondasi Raya Tbk.,IDPR.JK,Unknown
Graha Andrasentra Propertindo,JGLE.JK,Unknown
Indo Komoditi Korpora Tbk.,INCF.JK,Unknown
Waskita Beton Precast Tbk.,WSBP.JK,Unknown
Paramita Bangun Sarana Tbk.,PBSA.JK,Unknown
Prodia Widyahusada Tbk.,PRDA.JK,Unknown
Bintang Oto Global Tbk.,BOGA.JK,Unknown
Bank Syariah Indonesia Tbk.,BRIS.JK,Unknown
Cahayasakti Investindo Sukses,CSIS.JK,Unknown
Terregra Asia Energy Tbk.,TGRA.JK,Unknown
Alfa Energi Investama Tbk.,FIRE.JK,Unknown
Totalindo Eka Persada Tbk.,TOPS.JK,Unknown
Kirana Megatara Tbk.,KMTR.JK,Unknown
Armidian Karyatama Tbk.,ARMY.JK,Unknown
MAP Boga Adiperkasa Tbk.,MAPB.JK,Unknown
Integra Indocabinet Tbk.,WOOD.JK,Unknown
Hartadinata Abadi Tbk.,HRTA.JK,Unknown
Marga Abhinaya Abadi Tbk.,MABA.JK,Unknown
Buyung Poetra Sembada Tbk.,HOKI.JK,Unknown
Megapower Makmur Tbk.,MPOW.JK,Unknown
Mark Dynamics Indonesia Tbk.,MARK.JK,Unknown
Andalan Perkasa Abadi Tbk.,NASA.JK,Unknown
Emdeki Utama Tbk.,MDKI.JK,Unknown
Trisula Textile Industries Tbk,BELL.JK,Unknown
Kioson Komersial Indonesia Tbk,KIOS.JK,Unknown
Garuda Maintenance Facility Ae,GMFI.JK,Unknown
Malacca Trust Wuwungan Insuran,MTWI.JK,Unknown
Kapuas Prima Coal Tbk.,ZINC.JK,Unknown
M Cash Integrasi Tbk.,MCAS.JK,Unknown
PP Presisi Tbk.,PPRE.JK,Unknown
Wijaya Karya Bangunan Gedung T,WEGE.JK,Unknown
Pelita Samudera Shipping Tbk.,PSSI.JK,Unknown
Mora Telematika Indonesia Tbk.,MORA.JK,Unknown
Dwi Guna Laksana Tbk.,DWGL.JK,Unknown
Panca Budi Idaman Tbk.,PBID.JK,Unknown
Sky Energy Indonesia Tbk.,JSKY.JK,Unknown
Indah Prakasa Sentosa Tbk.,INPS.JK,Unknown
Gihon Telekomunikasi Indonesia,GHON.JK,Unknown
Tridomain Performance Material,TDPM.JK,Unknown
